,brand,sku,listingPartNum,match,asin,salesRankId,salesRank,boxV,cost,isBBW,marketPrice,fees,netProfit,margin
81,Master Lock,6230,6230,True,B000E2PBJ4,home_improvement_display_on_website,226688,6804 inches,19.54,True,41.58,38.13,-16.09,-38.7
82,Master Lock,6271,6271,True,B09GK99KDC,home_improvement_display_on_website,2186670,,18.1,True,334.7,no offers,no offers,no offers
83,Master Lock,6321,6321,True,B000E2NMWC,home_improvement_display_on_website,168142,13.32 inches,20.07,True,35.0,12.24,2.69,7.69
84,Master Lock,6325,6325,True,B000LE6UUO,home_improvement_display_on_website,1320531,12.64 inches,23.75,True,48.16,13.92,10.49,21.78
85,Master Lock,6327,6327,True,B0847NBRB3,home_improvement_display_on_website,2332315,,27.39,True,304.5,no offers,no offers,no offers
86,Master Lock,6830,6830,True,B0845TF5F7,home_improvement_display_on_website,1863593,,12.79,True,326.9,no offers,no offers,no offers
87,Master Lock,6840,6840,True,B0845Y78TD,No Rank,No Rank,,15.11,True,366.6,no offers,no offers,no offers
88,Master Lock,6850,6850,True,B08D6V8FVT,No Rank,No Rank,,17.19,True,439.6,no offers,no offers,no offers
89,Master Lock,7030,7030,True,B01MYXAXS5,automotive_display_on_website,145399,58.54 inches,12.11,True,29.95,8.969999999999999,8.87,29.62
90,Master Lock,7035,7035,True,B009IUN8KM,biss_display_on_website,885665,4.0 inches,22.47,True,39.99,no offers,no offers,no offers
91,Master Lock,7040,CAD50,False,B00M48M068,home_improvement_display_on_website,1807383,7.72 inches,13.35,True,10.85,6.23,-8.73,-80.46
92,Master Lock,7045,,Not Listed,B08FKXKH2G,home_improvement_display_on_website,359281,,24.37,True,36.88,no offers,no offers,no offers
93,Master Lock,7050,7050,True,B005IGXB2U,home_improvement_display_on_website,2422546,,15.82,True,163.75,36.75,111.18,67.9
94,Master Lock,7130,M5XTLFCCSEN,False,B00STZY3EW,home_improvement_display_on_website,41202,48.32 inches,408.19,True,23.03,10.44,-395.6,-1717.76
95,Master Lock,0410-5701,0410-5701,True,B004USVRNM,home_improvement_display_on_website,1409214,1000 inches,12.88,False,33.61,19.71,1.02,3.03
96,Master Lock,0411-5701,5KA A451,False,B000FKDCLO,home_improvement_display_on_website,150919,10.21 inches,6.33,True,19.29,8.940000000000001,4.02,20.84
97,Master Lock,0411-5705,0411-5705,True,B007IBJY1U,home_improvement_display_on_website,248634,,3.52,True,16.92,no offers,no offers,no offers
98,Master Lock,101KA,1175DLH,False,B0050BS01A,home_improvement_display_on_website,298369,24.58 inches,18.47,True,32.43,10.91,3.05,9.4
99,Master Lock,105D,105D,True,B00004Y8CY,home_improvement_display_on_website,480254,10.61 inches,2.3,True,6.55,4.43,-0.18,-2.75
100,Master Lock,105KA,5KA A451,False,B000FKDCLO,home_improvement_display_on_website,150919,10.21 inches,2.65,True,19.29,8.940000000000001,7.7,39.92
101,Master Lock,107DSPT,107DSPT,True,B000LX86RU,sports_display_on_website,131531,23.48 inches,6.83,True,14.17,7.51,-0.17,-1.2
102,Master Lock,107KADSPT,107KADSPT,True,B0002IN1MY,sports_display_on_website,1077057,8.5 inches,7.54,True,21.28,7.79,5.95,27.96
103,Master Lock,1174D,1174D,True,B004JVBK0A,home_improvement_display_on_website,127113,13.57 inches,20.94,True,29.96,10.54,-1.52,-5.07
104,Master Lock,1175D,1175D,True,B09FLK3ZCT,home_improvement_display_on_website,2396712,,15.13,True,238.57,no offers,no offers,no offers
105,Master Lock,1175DLH,1175DLH,True,B0050BS01A,home_improvement_display_on_website,298369,24.58 inches,17.16,True,32.43,10.91,4.36,13.44
106,Master Lock,1175LH,1175LH,True,B004JV46S8,home_improvement_display_on_website,598924,16.5 inches,17.16,True,35.66,11.4,7.1,19.91
107,Master Lock,1175LHRS,175EC2,False,B0BHXF3CP5,home_improvement_display_on_website,4720,354.12 inches,17.16,True,29.94,13.48,-0.7,-2.34
108,Master Lock,1175LHSS,1175LHSS,True,B004JV61IQ,home_improvement_display_on_website,65529,16.08 inches,17.54,True,28.47,10.32,0.61,2.14
109,Master Lock,1175RS,M187XKADCCSEN,False,B000WEMG60,home_improvement_display_on_website,81806,15.44 inches,15.13,True,18.49,8.82,-5.46,-29.53
110,Master Lock,1177D,1177D,True,B08D6T3LRV,home_improvement_display_on_website,1293568,,17.45,True,280.53,no offers,no offers,no offers
111,Master Lock,1178D,1178D,True,B07PNNS9B7,home_improvement_display_on_website,433622,119.57 inches,8.6,True,60.89,17.96,34.33,56.38
112,Master Lock,120D,120D,True,B00004SQL5,home_improvement_display_on_website,20621,11.12 inches,2.31,True,7.2,6.06,-1.17,-16.25
113,Master Lock,120KAD,120KA-1A36,False,B00448KYVE,home_improvement_display_on_website,261489,18.0 inches,2.99,True,11.64,7.8,0.85,7.3
114,Master Lock,120Q,120Q,True,B00004Y8CQ,home_improvement_display_on_website,20621,8.91 inches,7.31,True,14.61,6.79,0.51,3.49
115,Master Lock,120T,120T,True,B00004Y8D0,home_improvement_display_on_website,20621,12.37 inches,4.21,True,8.19,4.68,-0.7,-8.55
116,Master Lock,121Q,121Q,True,B07X2Y5XQT,home_improvement_display_on_website,854602,,7.6,True,29.54,no offers,no offers,no offers
117,Master Lock,121QCHPT,1523D,False,B0C2XTJ9WG,home_improvement_display_on_website,78944,,7.6,False,no offers,no offers,no offers,no offers
118,Master Lock,121T,121T,True,B00004Y8C5,home_improvement_display_on_website,95319,7.81 inches,4.38,True,7.74,4.609999999999999,-1.25,-16.15
119,Master Lock,121THC,121T,False,B00004Y8C5,home_improvement_display_on_website,95319,7.81 inches,4.38,True,7.74,4.609999999999999,-1.25,-16.15
120,Master Lock,126T,1KALJ 2126,False,B000HE7UOI,home_improvement_display_on_website,544464,18.75 inches,4.21,True,18.65,8.18,6.26,33.57
121,Master Lock,130D,130D,True,B00004SQL6,home_improvement_display_on_website,417582,5.45 inches,3.42,True,9.6,4.890000000000001,1.29,13.44
122,Master Lock,130KAD,40KADPF,False,B000WB4WF6,home_improvement_display_on_website,242423,22.25 inches,4.1,True,15.74,7.9,3.74,23.76
123,Master Lock,1317DSPT,ML1317,False,B00004SQME,home_improvement_display_on_website,415751,110.63 inches,12.07,True,12.64,8.6,-8.03,-63.53
124,Master Lock,131D,131D,True,B00004SQLA,home_improvement_display_on_website,6543,8.01 inches,3.51,True,8.13,4.67,-0.05,-0.62
125,Master Lock,131Q,131Q,True,B00004Y8D4,home_improvement_display_on_website,6543,19.14 inches,11.15,True,19.16,7.47,0.54,2.82
126,Master Lock,131T,131T,True,B000CSN33G,home_improvement_display_on_website,6543,20.38 inches,6.44,True,13.99,7.26,0.29,2.07
127,Master Lock,1387DAT,1387DAT,True,B00EYVJUFC,No Rank,No Rank,15.82 inches,1.52,False,8.99,4.529999999999999,2.94,32.7
128,Master Lock,140D,140D,True,B00004SQL7,home_improvement_display_on_website,9387,10.04 inches,4.46,True,8.99,4.98,-0.45,-5.01
129,Master Lock,140DHC,150D,False,B00004SQL8,home_improvement_display_on_website,100160,10.91 inches,4.46,True,9.61,5.07,0.08,0.83
130,Master Lock,140DLF,140DLF,True,B007PA2DCG,home_improvement_display_on_website,33703,11.16 inches,5.61,True,10.98,7.03,-1.66,-15.12
131,Master Lock,140DLFCHPT,M15XKADLFCCSEN,False,B000WEMGRO,home_improvement_display_on_website,200648,4.41 inches,5.61,True,17.98,9.4,2.97,16.52
132,Master Lock,140DLH,140DLH,True,B00009V3V5,home_improvement_display_on_website,33703,10.1 inches,6.49,True,9.18,5.01,-2.32,-25.27
133,Master Lock,140DLHHC,1523D,False,B0C2XTJ9WG,home_improvement_display_on_website,78944,,6.49,False,no offers,no offers,no offers,no offers
134,Master Lock,140KAD,140KAD,True,B002IV546O,home_improvement_display_on_website,1610124,4.99 inches,5.14,True,10.07,6.11,-1.18,-11.72
135,Master Lock,140KAS2LG,1KALJ 2126,False,B000HE7UOI,home_improvement_display_on_website,544464,18.75 inches,8.34,True,18.65,8.18,2.13,11.42
136,Master Lock,140Q,140Q,True,B0009V1WLQ,home_improvement_display_on_website,9387,29.93 inches,14.18,True,29.3,11.1,4.02,13.72
137,Master Lock,140QLH,140QLH,True,B000EUJHGY,home_improvement_display_on_website,33703,36.16 inches,20.61,True,22.65,10.1,-8.06,-35.58
138,Master Lock,140QLHHC,1175DLH,False,B0050BS01A,home_improvement_display_on_website,298369,24.58 inches,20.61,True,32.43,10.91,0.91,2.81
139,Master Lock,140T,140T,True,B00004Y8D3,home_improvement_display_on_website,9387,13.9 inches,8.17,True,15.72,7.9,-0.35,-2.23
140,Master Lock,1414DAT,1414DAT,True,B0009V1WRU,automotive_display_on_website,331625,29.45 inches,3.56,True,11.6,8.99,-0.95,-8.19
141,Master Lock,141D,141D,True,B00004Y8C6,home_improvement_display_on_website,1557,11.24 inches,4.6,True,8.48,5.36,-1.48,-17.45
